+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Blocked time |
| mir_pass_simplify_cfg_post_analysis ...................................  | 105.36ms  | 0.009           | 105.36ms | 23036      | 0          | 0.00ns       |
| mir_pass_copy_prop ....................................................  | 104.80ms  | 0.009           | 104.80ms | 20232      | 0          | 0.00ns       |
| hir_module_items ......................................................  | 104.54ms  | 0.009           | 104.54ms | 102        | 510        | 0.00ns       |
| nested_bodies_within ..................................................  | 100.68ms  | 0.009           | 100.68ms | 8221       | 8221       | 0.00ns       |
| mir_pass_force_inline .................................................  | 99.36ms   | 0.009           | 99.36ms  | 41657      | 0          | 0.00ns       |
| predicates_of .........................................................  | 96.10ms   | 0.009           | 532.34ms | 38035      | 6611237    | 1.13ms       |
| method_autoderef_steps ................................................  | 94.94ms   | 0.008           | 165.30ms | 11131      | 17095      | 79.71µs      |
| mir_pass_remove_unneeded_drops ........................................  | 93.47ms   | 0.008           | 93.47ms  | 20232      | 0          | 0.00ns       |
| mir_pass_impossible_predicates ........................................  | 93.41ms   | 0.008           | 93.41ms  | 23036      | 0          | 0.00ns       |
| upvars_mentioned ......................................................  | 86.96ms   | 0.008           | 86.96ms  | 20532      | 174868     | 0.00ns       |
| typing_env_normalized_for_post_analysis ...............................  | 86.25ms   | 0.008           | 100.04ms | 25655      | 764344     | 0.00ns       |
| mir_pass_check_drop_recursion .........................................  | 84.24ms   | 0.007           | 84.24ms  | 23036      | 0          | 0.00ns       |
| inferred_outlives_crate ...............................................  | 84.18ms   | 0.007           | 89.91ms  | 1          | 902        | 80.63ms      |
| monomorphization_collector ............................................  | 83.81ms   | 0.007           | 23.64s   | 1          | 0          | 0.00ns       |
| early_lint_checks .....................................................  | 83.46ms   | 0.007           | 101.78ms | 1          | 0          | 0.00ns       |
| mir_pass_dead_store_elimination_final .................................  | 81.81ms   | 0.007           | 81.81ms  | 20232      | 0          | 0.00ns       |
| is_async_drop_raw .....................................................  | 81.78ms   | 0.007           | 338.18ms | 22786      | 160685     | 48.37µs      |
| mir_pass_simplify_locals_after_value_numbering ........................  | 80.61ms   | 0.007           | 80.61ms  | 20232      | 0          | 0.00ns       |
| assumed_wf_types ......................................................  | 80.09ms   | 0.007           | 80.84ms  | 13738      | 19939      | 0.00ns       |
| mir_pass_simplify_locals_before_const_prop ............................  | 79.58ms   | 0.007           | 79.58ms  | 20232      | 0          | 0.00ns       |
| disabled_sanitizers_for ...............................................  | 78.89ms   | 0.007           | 96.19ms  | 25148      | 20933      | 0.00ns       |
| mir_pass_jump_threading ...............................................  | 78.85ms   | 0.007           | 78.85ms  | 20232      | 0          | 0.00ns       |
| mir_pass_check_call_recursion .........................................  | 77.36ms   | 0.007           | 118.77ms | 20934      | 0          | 0.00ns       |
| shallow_lint_levels_on ................................................  | 76.02ms   | 0.007           | 77.18ms  | 15265      | 771226     | 0.00ns       |
| type_op_normalize_clause ..............................................  | 73.93ms   | 0.007           | 249.84ms | 22038      | 4506       | 0.00ns       |
| local_def_id_to_hir_id ................................................  | 70.05ms   | 0.006           | 70.05ms  | 46599      | 1238007    | 0.00ns       |
| vtable_entries ........................................................  | 69.36ms   | 0.006           | 136.41ms | 4633       | 5186       | 0.00ns       |
| mir_pass_simplify_cfg_promote_consts ..................................  | 68.45ms   | 0.006           | 68.45ms  | 20934      | 0          | 0.00ns       |
| mir_pass_unreachable_enum_branching ...................................  | 66.97ms   | 0.006           | 1.12s    | 20232      | 0          | 0.00ns       |
| mir_pass_derefer ......................................................  | 65.84ms   | 0.006           | 65.84ms  | 44461      | 0          | 0.00ns       |
| mir_pass_add_moves_for_packed_drops ...................................  | 63.99ms   | 0.006           | 64.06ms  | 44461      | 0          | 0.00ns       |
| LLVM_thin_lto_resolve_weak ............................................  | 63.24ms   | 0.006           | 63.24ms  | 16         | 0          | 0.00ns       |
| vtable_allocation .....................................................  | 61.41ms   | 0.005           | 62.10ms  | 4127       | 220        | 0.00ns       |
| drop_ast ..............................................................  | 60.95ms   | 0.005           | 60.95ms  | 1          | 0          | 0.00ns       |
| constness .............................................................  | 58.84ms   | 0.005           | 58.90ms  | 20875      | 126097     | 0.00ns       |
| cgu_partitioning_merge_cgus ...........................................  | 58.10ms   | 0.005           | 58.10ms  | 1          | 0          | 0.00ns       |
| def_span ..............................................................  | 57.59ms   | 0.005           | 66.33ms  | 36235      | 318100     | 0.00ns       |
| mir_pass_simplify_cfg_final ...........................................  | 56.71ms   | 0.005           | 56.71ms  | 20232      | 0          | 0.00ns       |
| misc_checking_3 .......................................................  | 54.13ms   | 0.005           | 1.90s    | 1          | 0          | 0.00ns       |
| mir_pass_check_force_inline ...........................................  | 53.21ms   | 0.005           | 53.21ms  | 20934      | 0          | 0.00ns       |
| mir_pass_sanity_check .................................................  | 53.03ms   | 0.005           | 53.03ms  | 20934      | 0          | 0.00ns       |
| mir_pass_remove_zsts ..................................................  | 52.86ms   | 0.005           | 57.06ms  | 20232      | 0          | 0.00ns       |
| inherited_align .......................................................  | 48.63ms   | 0.004           | 66.19ms  | 20934      | 0          | 0.00ns       |
| size_estimate .........................................................  | 48.59ms   | 0.004           | 48.59ms  | 146622     | 50904      | 0.00ns       |
| inferred_outlives_of ..................................................  | 48.30ms   | 0.004           | 138.84ms | 38035      | 903        | 0.00ns       |
| lookup_deprecation_entry ..............................................  | 44.81ms   | 0.004           | 63.16ms  | 12937      | 309800     | 194.78µs     |
| deduced_param_attrs ...................................................  | 42.75ms   | 0.004           | 170.62ms | 21326      | 136677     | 0.00ns       |
| mir_pass_check_packed_ref .............................................  | 42.74ms   | 0.004           | 42.74ms  | 20934      | 0          | 0.00ns       |
| is_unpin_raw ..........................................................  | 42.58ms   | 0.004           | 364.71ms | 35892      | 109310     | 0.00ns       |
| metadata_decode_entry_optimized_mir ...................................  | 42.43ms   | 0.004           | 42.43ms  | 1559       | 0          | 0.00ns       |
| closure_typeinfo ......................................................  | 41.91ms   | 0.004           | 61.06ms  | 12713      | 125510     | 0.00ns       |
| mir_pass_scalar_replacement_of_aggregates .............................  | 41.86ms   | 0.004           | 41.86ms  | 20232      | 0          | 0.00ns       |
| type_op_normalize_ty ..................................................  | 40.06ms   | 0.004           | 44.78ms  | 14819      | 36949      | 0.00ns       |
| should_inherit_track_caller ...........................................  | 40.02ms   | 0.004           | 40.02ms  | 20934      | 0          | 0.00ns       |
| coroutine_kind ........................................................  | 39.40ms   | 0.003           | 39.43ms  | 24339      | 523278     | 0.00ns       |
| mir_pass_cleanup_post_borrowck ........................................  | 39.13ms   | 0.003           | 39.13ms  | 23036      | 0          | 0.00ns       |
| is_sized_raw ..........................................................  | 38.68ms   | 0.003           | 250.01ms | 11325      | 114657     | 0.00ns       |
| check_transmutes ......................................................  | 37.34ms   | 0.003           | 65.82ms  | 8221       | 0          | 0.00ns       |
| LLVM_thin_lto_internalize .............................................  | 36.88ms   | 0.003           | 36.88ms  | 16         | 0          | 0.00ns       |
| hir_owner_parent ......................................................  | 36.41ms   | 0.003           | 36.41ms  | 15264      | 645759     | 0.00ns       |
| get_lang_items ........................................................  | 36.23ms   | 0.003           | 36.39ms  | 1          | 78133583   | 0.00ns       |
| resolve_postprocess ...................................................  | 35.32ms   | 0.003           | 35.32ms  | 1          | 0          | 0.00ns       |
| mir_pass_simplify_cfg_after_unreachable_enum_branching ................  | 35.27ms   | 0.003           | 35.27ms  | 20232      | 0          | 0.00ns       |
| is_freeze_raw .........................................................  | 34.99ms   | 0.003           | 872.07ms | 20475      | 136903     | 504.20µs     |
| mir_pass_unreachable_propagation ......................................  | 34.83ms   | 0.003           | 34.83ms  | 20232      | 0          | 0.00ns       |
| inhabited_predicate_type ..............................................  | 34.61ms   | 0.003           | 52.49ms  | 14414      | 322893     | 423.08µs     |
| specialization_graph_of ...............................................  | 34.44ms   | 0.003           | 93.28ms  | 244        | 64522      | 7.07ms       |
| eval_to_const_value_raw ...............................................  | 33.41ms   | 0.003           | 792.68ms | 17199      | 199675     | 0.00ns       |
