+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Blocked time |
| reachable_set .........................................................  | 27.50ms   | 0.002           | 13.97s   | 1          | 101        | 0.00ns       |
| mir_pass_check_const_item_mutation ....................................  | 26.91ms   | 0.002           | 26.91ms  | 20934      | 0          | 0.00ns       |
| item_bounds ...........................................................  | 25.91ms   | 0.002           | 25.95ms  | 3315       | 42333      | 0.00ns       |
| metadata_decode_entry_impl_trait_header ...............................  | 25.56ms   | 0.002           | 25.56ms  | 19071      | 0          | 0.00ns       |
| mir_pass_single_use_consts ............................................  | 25.52ms   | 0.002           | 25.52ms  | 20232      | 0          | 0.00ns       |
| mir_pass_simplify_cfg_make_shim .......................................  | 25.02ms   | 0.002           | 25.02ms  | 21428      | 0          | 0.00ns       |
| associated_item .......................................................  | 24.72ms   | 0.002           | 59.20ms  | 11028      | 784494     | 0.00ns       |
| trait_impls_of ........................................................  | 24.22ms   | 0.002           | 51.51ms  | 287        | 35379934   | 11.36ms      |
| mir_callgraph_cyclic ..................................................  | 23.90ms   | 0.002           | 35.68ms  | 202        | 298        | 0.00ns       |
| hir_attr_map ..........................................................  | 23.00ms   | 0.002           | 23.00ms  | 14863      | 3213541    | 0.00ns       |
| item_self_bounds ......................................................  | 22.92ms   | 0.002           | 198.62ms | 3434       | 209874     | 0.00ns       |
| associated_items ......................................................  | 21.51ms   | 0.002           | 75.43ms  | 4500       | 457721     | 1.86ms       |
| impl_super_outlives ...................................................  | 21.26ms   | 0.002           | 21.53ms  | 3336       | 3086958    | 233.75µs     |
| mir_pass_lower_slice_len_calls ........................................  | 21.02ms   | 0.002           | 21.02ms  | 20232      | 0          | 0.00ns       |
| mir_pass_simplify_comparison_integral .................................  | 20.68ms   | 0.002           | 20.68ms  | 20232      | 0          | 0.00ns       |
| is_late_bound_map .....................................................  | 18.97ms   | 0.002           | 19.00ms  | 6813       | 57527      | 0.00ns       |
| resolve_check_unused ..................................................  | 18.60ms   | 0.002           | 18.60ms  | 1          | 0          | 0.00ns       |
| mir_pass_simplify_const_condition_final ...............................  | 18.33ms   | 0.002           | 18.33ms  | 20232      | 0          | 0.00ns       |
| complete_gated_feature_checking .......................................  | 18.08ms   | 0.002           | 18.08ms  | 1          | 0          | 0.00ns       |
| debugger_visualizers ..................................................  | 17.48ms   | 0.001           | 17.48ms  | 1          | 1          | 0.00ns       |
| cross_crate_inlinable .................................................  | 17.08ms   | 0.001           | 13.95s   | 22161      | 614125     | 0.00ns       |
| entry_fn ..............................................................  | 16.14ms   | 0.001           | 26.34ms  | 1          | 919705     | 0.00ns       |
| def_ident_span ........................................................  | 15.79ms   | 0.001           | 15.85ms  | 9442       | 273212     | 90.55µs      |
| mir_pass_mentioned_items ..............................................  | 15.63ms   | 0.001           | 15.63ms  | 31709      | 0          | 0.00ns       |
| associated_types_for_impl_traits_in_trait_or_impl .....................  | 15.43ms   | 0.001           | 15.50ms  | 3720       | 5918       | 0.00ns       |
| impl_trait_header .....................................................  | 14.95ms   | 0.001           | 40.56ms  | 22683      | 12326036   | 285.70µs     |
| defaultness ...........................................................  | 14.73ms   | 0.001           | 15.08ms  | 8514       | 3319556    | 130.48µs     |
| named_variable_map ....................................................  | 14.72ms   | 0.001           | 105.84ms | 7621       | 30656      | 0.00ns       |
| representability ......................................................  | 13.19ms   | 0.001           | 29.41ms  | 3604       | 1706       | 0.00ns       |
| enforce_impl_non_lifetime_params_are_constrained ......................  | 12.61ms   | 0.001           | 12.61ms  | 3612       | 5700       | 0.00ns       |
| collect_and_partition_mono_items ......................................  | 12.61ms   | 0.001           | 24.53s   | 1          | 1278       | 0.00ns       |
| diagnostic_items ......................................................  | 12.46ms   | 0.001           | 12.52ms  | 132        | 1156627    | 10.26ms      |
| adt_dtorck_constraint .................................................  | 12.39ms   | 0.001           | 28.44ms  | 1222       | 526087     | 535.70µs     |
